observed_date,source,set_name,form,price_per_pack_usd,lot_size,includes_shipping,includes_tax,listing_ref,notes
2026-07-17,carddistro,Mystery Slab,slab,30.00,,,,,synthetic sample quote; slabs deferred - catalog only
2026-07-17,carddistro,Phantasmal Flames,booster,15.00,,,,,synthetic sample quote
2026-07-17,carddistro,Mega Evolution,booster,10.00,,,,,synthetic sample quote
2026-07-17,carddistro,Destined Rivals,booster,10.00,,,,,synthetic sample quote; reprint wave target
2026-07-17,carddistro,Journey Together,booster,7.00,,,,,synthetic sample quote
2026-07-17,carddistro,Paldean Fates,booster,25.00,,,,,synthetic sample quote; over the machine sale ceiling
2026-07-17,carddistro,151,booster,30.00,,,,,synthetic sample quote; over the machine sale ceiling
2026-07-17,carddistro,Pitch Black,booster,12.00,,,,,synthetic sample quote; released 2026-07-17
2026-07-17,carddistro,Chaos Rising,booster,7.00,,,,,synthetic sample quote; entry tier candidate
2026-07-17,carddistro,Perfect Order,booster,7.00,,,,,synthetic sample quote; entry tier candidate
2026-07-17,carddistro,Ascended Heroes,booster,15.00,,,,,synthetic sample quote; reprint announced - watch
2026-07-17,carddistro,White Flare,booster,15.00,,,,,synthetic sample quote
2026-07-17,carddistro,Black Bolt,booster,17.00,,,,,synthetic sample quote
2026-07-17,carddistro,Surging Sparks,booster,9.00,,,,,synthetic sample quote
2026-07-17,carddistro,Prismatic Evolutions,booster,15.00,,,,,synthetic sample quote; reprint wave target
